,city_fuel_economy,mileage,passenger_car,price,franchise_make
147768,21.0,9884.0,0,27995.0,1
20973,28.0,38.0,1,25554.0,1
20942,19.0,15.0,0,51074.0,1
81641,28.0,30899.0,1,23887.0,1
103658,12.0,52090.0,0,13878.0,1
103448,28.0,36839.0,1,16490.0,1
248178,28.0,37743.0,1,19492.0,1
193700,24.0,30695.0,0,21988.0,1
117019,28.0,21950.0,1,21990.0,1
246785,22.0,40205.0,0,18995.0,1
169712,17.0,29913.0,0,38654.0,1
103558,28.0,30646.0,1,17489.0,1
58523,21.0,4016.0,0,18795.0,1
40733,19.0,15496.0,0,33500.0,1
235303,17.0,49067.0,0,14494.0,1
12107,28.0,33796.0,1,14951.0,1
108280,26.0,6179.0,0,15959.0,1
169154,29.0,1976.0,1,23995.0,1
156399,24.0,47705.0,1,14887.0,1
184912,17.0,38842.0,0,19990.0,1
131634,25.0,33110.0,1,16998.0,1
240235,28.0,34078.0,1,21994.0,1
27284,26.0,49000.0,0,17991.0,1
50096,31.0,34969.0,1,10994.0,1
274301,14.0,17297.0,0,51491.0,1
247851,13.0,30846.0,0,43995.0,1
84845,28.0,41271.0,1,17699.0,1
194352,18.0,22784.0,0,42500.0,1
92633,27.0,19945.0,0,17799.0,1
89223,26.0,26456.0,0,30598.0,1
254375,28.0,38290.0,1,21000.0,1
29642,24.0,20282.0,0,35000.0,0
174687,21.0,9070.0,1,38888.0,0
62389,15.0,34313.0,0,41998.0,0
187022,14.0,45.0,0,112517.0,0
152624,13.0,15.0,1,155991.0,0
109953,15.0,122.0,0,66900.0,0
252985,23.0,10364.0,1,27950.0,0
115405,15.0,8455.0,0,63900.0,0
105421,19.0,17593.0,1,69999.0,0
60975,15.0,277.0,0,90530.0,0
175984,16.0,5130.0,1,67500.0,0
212267,11.0,9247.0,0,83998.0,0
139027,24.0,15565.0,1,33898.0,0
207839,17.0,6235.0,0,34998.0,0
186816,29.0,13410.0,1,19998.0,0
266229,16.0,0.0,1,95595.0,0
185915,14.0,10.0,0,139484.0,0
122031,17.0,6864.0,1,88500.0,0
39515,15.0,8322.0,0,62985.0,0
59364,16.0,9489.0,1,62985.0,0
157696,15.0,8851.0,0,75888.0,0
178479,14.0,54.0,0,105142.0,0
264886,28.0,39925.0,1,18497.0,0
69991,17.0,10.0,1,70745.0,0
112699,17.0,75.0,1,59900.0,0
4739,16.0,6036.0,1,81998.0,0
241583,16.0,5.0,1,73583.0,0
240456,28.0,14295.0,1,20390.0,0
19005,18.0,25183.0,0,37998.0,0
239576,23.0,1782.0,1,34000.0,0
877,17.0,15.0,1,88205.0,0
240451,22.0,18969.0,0,39999.0,0
154627,15.0,41.0,0,62449.0,0
196239,17.0,153.0,0,78390.0,0
157832,13.0,40.0,1,160240.0,0
112699,17.0,75.0,1,59900.0,0
92880,26.0,36796.0,0,19399.0,0
97608,15.0,12045.0,0,57880.0,0
23376,14.0,0.0,0,130635.0,0
60975,15.0,277.0,0,90530.0,0
38009,14.0,10.0,0,139484.0,0
239576,23.0,1782.0,1,34000.0,0
1772,14.0,254.0,0,107165.0,0
212027,17.0,130.0,1,81330.0,0
35045,16.0,14962.0,1,54950.0,0
64664,16.0,38796.0,0,40998.0,0
20297,14.0,46.0,0,134999.0,0
235980,22.0,8044.0,1,34950.0,0
254071,24.0,14110.0,1,37800.0,0
86913,17.0,10.0,1,57985.0,0
275286,15.0,33932.0,0,39998.0,0
228754,24.0,10279.0,1,43995.0,0
10293,21.0,23148.0,0,22505.0,0
54403,17.0,31263.0,0,20988.0,0
149912,14.0,3034.0,0,99995.0,0
19946,23.0,10894.0,1,32754.0,0
272878,18.0,6909.0,0,41995.0,0
165708,22.0,12102.0,1,33950.0,0
212448,16.0,29.0,1,91985.0,0
121588,15.0,18596.0,0,53995.0,0
83292,17.0,71.0,1,67630.0,0
19005,18.0,25183.0,0,37998.0,0
196948,14.0,25046.0,0,71895.0,0
149653,13.0,34.0,1,179142.0,0
100318,14.0,10.0,0,135005.0,0
211022,24.0,9980.0,1,43750.0,0
266211,24.0,21736.0,0,38998.0,0
121675,18.0,26089.0,0,42000.0,0
239576,23.0,1782.0,1,34000.0,0
68834,21.0,16366.0,1,47900.0,0
127950,18.0,46163.0,0,26905.0,0
112107,15.0,8278.0,0,63985.0,0
218607,16.0,34.0,1,73709.0,0
197062,14.0,18943.0,0,59995.0,0
211022,24.0,9980.0,1,43750.0,0
113725,17.0,27609.0,1,31950.0,0
